channel,cD4_1,cD4_2,cD4_3,cD4_4,cD4_5,cD4_6,cD4_7,cD4_8,cD4_9,cD4_10,cD4_11,cD4_12,cD4_13,cD4_14,cD4_15,cD4_16,cD4_17,cD4_18,cD4_19,cD4_20,cD4_21,cD4_22,cD3_1,cD3_2,cD3_3,cD3_4,cD3_5,cD3_6,cD3_7,cD3_8,cD3_9,cD3_10,cD3_11,cD3_12,cD3_13,cD3_14,cD3_15,cD3_16,cD3_17,cD3_18,cD3_19,cD3_20,cD3_21,cD3_22,cD3_23,cD3_24,cD3_25,cD3_26,cD3_27,cD3_28,cD3_29,cD3_30,cD3_31,cD3_32,cD3_33,cD3_34,cD3_35,cD3_36,cD3_37,cD3_38,direction
1.0,0.6818997504667363,1.9066199361327814,-8.20612227438734,-26.691720872888098,-5.027657282325303,4.267277228942346,1.4707371921329688,0.05213686067237454,-20.740068866328787,-15.923557090531606,-8.003924173160044,-0.7393596767845076,-10.254323248210488,-11.849934323873555,7.5421786563274615,-6.283543068580442,2.388389739708768,-10.97687922143187,5.375715766856338,-2.5657935640401868,0.22582848676568298,9.181989601199561,-5.690105184609155,-18.909962273307837,-9.708355261990057,0.21445759569462478,3.483420139114117,-0.700188887328185,3.2953920749952337,-23.946439870377908,-32.58708049872039,4.656308346405908,-4.917846581099302,-7.208684468558638,-31.545832319474922,39.33773389145494,10.398080226144957,18.061495637278103,5.9560284502811704,22.35064993879478,-27.178987330374515,8.290467520048443,-17.791570723756873,14.65956081711396,-35.227283209985096,-17.71014801800037,11.248986457354276,-1.7461277571753728,13.942445593988987,-1.9276484756535024,-9.45808747444253,-17.908314923179304,-16.80364882294772,-3.9175350311026857,4.843317137571422,-3.2734860186242933,1.011221080783568,-0.9904102596053748,2.2722874814629073,-3.6543868849019456,1.0
2.0,0.48599796606838014,1.011253893111282,-12.630059420787036,-23.05113224106936,-6.540648204090223,9.228066424136014,-3.654171780185202,3.1473622468371913,-31.862012263187133,-5.441390754682445,-3.936856063540968,0.12608534538150615,-10.876209309608324,-15.894505746791094,16.009138115571158,-13.396478602812396,16.751143221099905,-3.549223373682891,5.7752283074779625,-2.661576382506968,-3.0459864709692845,-1.2961941640178294,-4.652199373451694,-15.732068934607085,-12.386882348077819,2.2472148855352394,1.1668593826280684,1.2460004019045379,1.5949538544523834,-16.962401096916196,-31.58361509345598,-0.322336456347749,-7.196728485410177,-3.621018168950774,-30.991341377099552,35.56562766355082,13.194371498699219,16.93762933706961,2.36976918337465,25.202354978111007,-27.47530969177649,6.390054232399029,-19.906413696920772,17.93228099799704,-36.23559782354433,-18.129071325135584,11.445156374962941,-1.9530174988410147,16.342063680153995,-6.155746905129638,-6.9856274579815905,-21.80052266307385,-16.698597330375325,-9.509821260227131,7.295497851883332,-3.7294583753828205,1.0343635454490452,-0.684548977412721,1.2680404563711454,-3.122897905683166,1.0
3.0,0.4863243210034414,1.0880624562432353,-10.815990625654383,-19.743970730341957,-6.729549921942594,0.8992527747709398,-0.5861528767927473,-1.1057473861984164,-29.939547847516746,-8.566692092515947,-7.909947310429053,-2.884813223466081,-17.979777076341634,-15.963153257558798,19.269891834958617,-7.907939610487381,11.174515757044688,0.4132908060889703,8.811347569556936,-3.2883436054539548,-7.895037727001786,-1.1467452731709011,-4.0017961135187505,-13.472882579044146,-10.44826223352501,1.711560240506509,2.4433153989529934,7.111705011392895,-4.986995386356262,-9.86455086975309,-29.504975713333945,6.644416397963695,-4.102122386961275,-12.162875255262131,-27.1680884790673,37.528502308590674,4.424919809893304,15.059580487816188,-0.8657378605879157,13.44814119020869,-23.175838509516264,-5.37692773689366,-21.49827343747327,20.90579553538184,-36.31548550578997,-19.050950812868873,6.463355465814489,-0.40014231396974553,17.939395545411266,-6.677689132305172,-3.0694284025465115,-22.112732432337413,-12.827921287754332,-9.556663555577822,8.778837598211746,-7.019065505826866,1.688919442520115,-0.4604716390144544,4.065356150159058,-5.5148725433160575,1.0
4.0,0.3888174220337056,0.8159569847384002,-8.459711993321545,-12.363621744413278,-10.20920835986462,12.696118590947604,-16.73439378508516,4.506016885020675,-26.596646546556524,-2.31258924724202,-15.370892437186216,-11.12048469596115,-14.376880378210746,-19.826109688488287,18.79277118987142,-5.915509611420474,-10.856033401822236,13.149599966627928,2.3902641873259047,-2.6108443056699135,-4.132679101165184,-8.441962193952733,-2.7008529870874445,-9.242509718555112,-10.300333444648867,-6.980873205618359,-3.6333215929668476,6.427497612752305,-10.080162142685495,0.08921361952598537,-37.339147200721,8.97455642882283,-1.774667455434221,-13.23725324465113,-33.63699202132173,49.01347875240574,7.286653531969036,13.258367113888012,1.8998901247759807,24.746328981966997,-25.30155874111059,-12.07042727378252,-33.21083863238361,26.235071029936147,-38.521954706143035,-24.77130782805686,3.896379957403725,9.358545207647893,14.25396213712244,1.1940206027261744,-11.042458450988729,-28.872936761697517,-13.682210931584603,-9.123475833335373,3.9590548454698467,-6.376454353276223,2.013410985815164,-1.0082174261079893,4.716970526695892,-1.5389323045348255,1.0
5.0,0.4359354608502938,0.7868583278486747,-14.067847862927229,-11.684833074787038,-7.999364787910927,-0.8393605182505126,2.7895913351766692,-3.527052234415155,-34.5681399978314,-10.384711561789658,-2.559176552182996,7.2795490222191095,-23.265204388199564,-9.046292932828994,19.2893696016616,-1.749858703115352,-1.4329950695428373,11.051318412384147,12.388820937062885,-4.3921390762320085,-14.872328899519799,-5.090291052452272,-3.9953879407825785,-13.50726008074182,-11.788053574715956,5.442411317908627,0.5552072602211398,6.64151858984455,4.216738571186538,-6.4467702155054445,-26.203484473017873,12.215433267020098,-4.9107142224060825,-12.275769031743513,-26.91347888461633,45.1410481078864,-7.437722062110668,21.02801227013222,1.5631358492599141,13.97541648479794,-19.80204709337475,-13.39668177915541,-10.197001622056243,7.225701871365649,-21.672686667200274,-22.924564159286803,6.8664062932795025,-0.5469620597562626,23.152877940286192,-1.429770680562497,-1.426548325254907,-30.30904047599493,-10.692380734919826,-6.081541609854007,4.1542019329627555,-6.6970555267231076,1.358829443553855,-0.09942329128141082,5.000440592104598,-2.2586827217108105,1.0
6.0,0.567409450391802,1.7994197718996416,-3.6453743768956546,-19.907074587217313,-3.5777680749374476,-3.3266906871946054,5.028976671324264,-1.3546055773366432,-13.31913790319383,-20.7721526321242,-11.5122762256288,-3.8522939643607446,-20.526355285532567,-19.45646199506791,13.401095809652492,2.99638266582728,-3.231449145094233,5.0760560609355165,6.8967793439782605,-2.597039982449936,-7.623970152714089,-1.4975516097281687,-5.486840166149761,-18.066965435263686,-6.884995891767327,-3.7403168717589423,1.5454540785477742,8.047090935055925,-5.447424791454097,-4.649107154549208,-33.179864520995714,8.78202327697968,-7.944032551753421,-14.103330829122124,-24.16888507173051,39.921202467169266,2.472524179275706,14.678611279558517,8.26163790021542,13.088353260195262,-26.115837452893192,-8.837619771719561,-25.908924418779584,21.73835692234051,-30.52599530499751,-23.8111580448075,4.843979317373605,10.512089471493471,12.795576431873453,4.747735964163119,-5.6641994751675915,-20.869185432502196,-16.521402045834378,-8.897861957311338,4.4824044210713065,-2.733872294810163,0.6266270496814145,-0.28383762119113154,1.1991935061579722,-1.1233101523348161,1.0
7.0,0.3934287903041209,0.7570405867910182,-8.947897891796643,-14.90724621807119,-16.340114632325733,-2.0891443049396425,-4.889061739229129,5.266391067254084,-22.54789282203296,-16.561159271149037,-1.4811114396725646,8.979989721028439,-8.851572272294735,-24.321756551881055,19.322421597797963,-6.388231159077429,2.539414441958148,-3.9285053419259386,2.6021837387524047,-1.6947961171630137,-0.08133641056926785,2.7210079951247312,-3.2931118173645646,-11.232026231100065,-11.039260109079494,-4.156739628167442,5.563319902526157,-0.35755821916782515,2.9656033462174363,-18.03154176029052,-38.864006165782804,10.651068364000121,-10.969846311807027,-8.019046556750673,-32.41599866744781,39.414581534417835,8.049493699161012,14.233824948655386,5.707374033563357,31.202077822206668,-24.096788792975858,0.2387215289831791,-25.282377727838746,20.549109154212527,-31.786488866222385,-21.078963287104028,7.294294531969455,2.9563486499669334,13.19611761614401,0.469159360463285,-10.018961588427073,-16.44059351060666,-17.6106757964694,-10.612353844878033,4.031260560891269,-7.50716552953714,2.8045613518532835,-1.7180378881779075,6.7001231886868755,-2.147410222780674,1.0
8.0,0.4960238502150075,1.2203588716105955,-8.352569255078118,-23.990448131610957,-5.29931487995839,2.73911669641219,-4.348439901308108,1.9370159201318093,-24.47010460674886,-15.434123543531449,-8.083932947749416,2.2702220653419967,-8.628481287134735,-21.30581319187416,17.8424910551416,2.3408148660802475,5.593020201947172,-5.073519174806296,0.6568520922321436,-1.0366411500676251,2.5804486887441795,1.0785960099782155,-4.10999449080816,-13.804123366288636,-9.76050431756344,-1.9002525757510889,1.6920850321922214,-1.540774844858587,3.542518899213666,-22.820175939981937,-36.394296113537045,8.890498002608922,-3.8712550803041865,-8.904841606013811,-34.40041342844049,37.74558603718029,10.726741591382254,14.957407369546937,6.946062089214647,26.23248529863072,-25.475620148308558,5.825932220882884,-21.570158409200992,17.61579863500499,-34.6482144073348,-17.723473938033226,11.280509595604025,-3.8046041547618556,9.578535221843882,1.2500037568009508,-8.933728755713233,-15.021473464127492,-14.073046073047806,-5.826157912522459,2.1824911574752335,-0.6736433810063027,0.6571949316230914,-1.0089715517223308,0.1649639035122024,0.307973923063758,1.0
1.0,-0.4130397483989699,-1.5066580001293,-1.1704990155701136,12.533376125105056,-10.829900677841538,12.837197836863357,11.025832327574754,-3.7634579933061576,20.055976235894185,25.439934595000018,9.600215887258193,-7.226284215778833,-4.373877778403681,16.056181329999923,-22.65968942151334,10.180816112055778,12.546709931881608,-4.482230002197337,-4.764451933152682,1.033767490766452,6.496318112329727,-2.681655537426692,2.510870697836616,8.17969286567423,-1.7894381823191814,-9.959062136515968,-17.631254918606256,-16.802635469990168,-3.9175350311026857,4.865124850283465,-3.604822687804785,9.75882602697106,22.718303333420923,-4.753916909938458,1.7067441491322581,4.633946049082745,18.516911193347337,-2.9563584788518797,-17.62448586227607,-2.3939299300020265,3.608334525969908,-0.5628375921319485,-19.79232913379853,-13.165502061449997,-15.61735092942996,-11.418170689573177,6.080705100802079,-18.418679396703553,17.66446805724217,-12.331890438017917,2.152388495845023,-6.099345068755667,-1.4690821810564392,3.643907772916102,-17.905253345065606,0.4929921863889635,0.9626921045153132,-1.381084805909676,5.6172662146943155,15.014365215156813,1.0
2.0,-0.4615065524059748,-1.5237301646285746,-0.05233836697173502,5.701077833027349,-21.53058408484975,9.027213872410266,11.082477171146145,-4.659579322372578,18.593491551960476,25.00133684294987,10.793973043440568,-5.877573801463969,-9.977908551831629,13.682810015706492,-17.95876402435597,7.692528599022744,8.170216639693933,-4.596875282230319,-4.120139750188191,0.9887476542712732,5.686342699750598,-0.7163850585700535,1.8365464148635215,6.011740536815274,-0.9868605155124438,-9.43552631044379,-21.104333565203046,-16.69417262843344,-9.509821260227131,7.306815459685127,-4.485221365843603,4.944561589608364,17.754055966984254,-2.758546601372107,-0.27514689405435655,1.3929416914279,22.341133012054943,-8.841351233722442,-19.754476336939423,-5.510373738660886,5.7524846299224475,-4.05864250422919,-22.410675170278083,-13.00719211318684,-12.94149783699588,-5.463740974095126,2.4482058892646004,-10.884574375082721,16.689605640663245,-9.969023969810504,0.5169473005907756,-4.26184477663228,-1.0694216302336959,5.219932118200326,-15.41491541568781,1.310327066979851,0.32840461800792187,-0.807991366436057,3.934785227648741,12.328147082648083,1.0
