channel,cD4_1,cD4_2,cD4_3,cD4_4,cD4_5,cD4_6,cD4_7,cD4_8,cD4_9,cD4_10,cD4_11,cD4_12,cD4_13,cD4_14,cD4_15,cD4_16,cD4_17,cD4_18,cD4_19,cD4_20,cD4_21,cD4_22,cD3_1,cD3_2,cD3_3,cD3_4,cD3_5,cD3_6,cD3_7,cD3_8,cD3_9,cD3_10,cD3_11,cD3_12,cD3_13,cD3_14,cD3_15,cD3_16,cD3_17,cD3_18,cD3_19,cD3_20,cD3_21,cD3_22,cD3_23,cD3_24,cD3_25,cD3_26,cD3_27,cD3_28,cD3_29,cD3_30,cD3_31,cD3_32,cD3_33,cD3_34,cD3_35,cD3_36,cD3_37,cD3_38,direction
1.0,0.7360058589965724,4.407470718314976,29.13129876350438,-2.508459854725401,-13.84094264689114,-14.264323113407084,13.694267311452144,-3.653110529769807,29.583053035209762,7.302780823180311,64.97802118582702,-22.939369828223093,-0.6727702767672556,10.655181134998058,-27.615835795372888,-8.311961987934867,27.385523989668933,-23.10911208724617,3.2306747317621642,-1.2501962318096738,5.743884641036566,10.465114420273478,-5.770736942961285,-18.16464250094563,12.439058786427706,-37.41423868841121,-46.8911066255584,-7.650449563724168,-23.220040433798722,-17.066232843342164,5.070490350050789,35.74072095475553,-6.592719668381912,-12.30660976223776,-9.193485335877142,-28.247707033545627,-11.015489657926793,-30.368272925021536,-30.944993734067825,-17.198608899369784,2.204348116927573,-15.274542506528832,-17.507074609006363,13.632108322191305,10.529348957880613,13.640269348980743,17.543693728515848,20.69731479307294,-21.059176523661318,-27.159221762224732,-26.46168243995074,18.71445362912358,4.838809188798834,23.60153654754695,6.18004673628537,1.1122576300647733,0.5069205266301708,-1.6367714456020686,-2.273082603901708,-12.223055013020684,4.0
2.0,0.6705237278943453,4.199535515976561,28.742460159785736,-2.308628487731145,-21.182208561476834,-10.025503729807914,4.335058878242728,-3.0079063790780562,42.32795252236614,9.665472466746268,52.45248823038573,-18.465467991317198,-3.324340922055234,8.505817329427732,-24.134140022703107,-4.839192157449121,24.332703371335565,-23.084765128424955,2.6686470348693057,-0.6768677517331119,5.524334090798512,11.994487592462805,-5.564076698783774,-17.458907075833967,13.44492475199508,-33.1588801171256,-45.016472505479285,-5.562998085582844,-24.563702280939818,-11.894066328780962,2.5115729363223283,38.71400647538107,-10.09255683596696,-12.438237808184201,-7.312108381381347,-24.4735744809149,-11.950376287321236,-31.587455079426686,-25.825075241456553,-21.57859846665461,-0.6658977658595548,-13.392605559937213,-16.233452445692464,15.060322232599056,10.973358719317316,12.695278603092284,16.696664437181756,18.47198063266014,-20.339947693315853,-24.93172830232869,-26.346155148312665,19.681325400499787,0.8774316283801629,20.629923273392443,7.0894750843277015,2.965713349627511,0.12290530303363521,-1.6021187303891748,-4.27283469929084,-11.904682683002841,4.0
3.0,0.3871327802234465,2.876357241525807,26.30452369253847,-7.659088636672811,-23.215833480736464,4.067420826143981,-0.7826620486099682,-6.163094576767194,30.527935153629052,5.619614662719597,61.700198749347784,-8.907807820238883,-12.660698235123672,12.12173248050561,-32.657070456515974,-18.281087711359223,19.589742164246776,-21.0853797733977,-2.1975359080823504,0.59408833253127,10.411034997633475,8.742879015631527,-2.9029213966442544,-9.026945666402641,10.114708651245593,-38.20433641956789,-37.817294110532444,-13.625843391820192,-17.7669990783302,-7.166849917784255,1.67162057685961,42.767272894985915,-20.51067909748186,-9.655859949404968,-3.366521430351447,-26.871070742683898,-12.614556705564972,-25.446906465730848,-29.281421119844293,-20.610216406907714,-1.5611181428279237,-9.706844834060973,-15.238283163104164,9.976014637839976,9.103169590254607,26.23192305945795,5.6566969622188035,32.14782924018375,-22.82927063744035,-24.226726215929236,-22.28658921519651,10.668308777917927,-1.0897280817472956,23.47973440055658,-1.1830647382273913,5.26438553682962,0.3617782427135546,-2.4967134285754415,-3.753473540295218,-5.048623659531428,4.0
4.0,0.43256384408944293,3.0585191681717347,24.150540174451574,-5.636217812838904,-23.30364751657787,-7.189310126142028,-0.7654311591614464,-1.8260163657664772,38.622301440948206,9.912070895046208,61.38428468124003,-18.421367529618752,-8.150039462643228,3.8256892732456658,-37.30415752841524,-9.091961751845277,19.929989124830925,-21.5309842518598,6.50933484552117,-1.8794687493856124,1.5072789833930131,13.005353504826218,-3.3671871223279686,-10.549880791410581,10.181023721201296,-34.217410724086186,-47.167735564157255,-8.892749067593666,-23.174076608507008,-11.942303633305377,8.551578642669666,46.218941457212246,-21.663633731090062,-9.832963848527942,-5.090669750991984,-29.563757662602708,-13.282198682222868,-27.965922776614196,-31.164899077684613,-19.73454565898119,2.8506054280219124,-10.504852703996141,-11.4251333186665,10.538849705709046,10.587908687008328,17.86625697387873,14.558077339342033,25.74257731612395,-20.91339413544592,-20.766539286078217,-23.683877406169774,14.592706161506916,2.962991371423298,19.6628606418108,0.5267251599877645,5.425352117326682,-0.9830901906591465,-1.0795263499396035,-4.6760106650380235,-4.769601416084085,4.0
5.0,0.3091772790268595,2.0938531767857556,19.30775969582888,-4.639940770936352,-8.066132725461458,14.826314942748894,-1.8438790624372006,-5.193635833443111,6.062496972171332,-2.7013734825080298,59.04389301088637,-9.037279540495263,-8.840753468987806,8.790242197866194,-48.198602600010595,-22.957957501179955,22.956283841278598,-8.174185037207323,-3.034767241569738,0.400040448018705,7.736189073121975,-4.9079804670723055,-0.6208334991606452,-1.932876347792579,4.933024478999623,-39.808074112038994,-39.19400360317371,-13.823194541739387,-13.102799722336096,-6.781161534307065,-0.9051992295132956,47.50143163791845,-32.12168110727316,-2.398114547238365,-6.3095339662538,-29.71488181259344,-15.104408321275377,-25.638482739605625,-28.959633598755335,-42.85602729207807,4.242907787217067,-8.13680515475376,-18.10813891924424,22.73805931164041,-4.01076663110917,38.22447252453573,-8.906133059021316,43.52252294394329,-31.74249671887802,-26.9957097119112,-23.362574690799317,13.829050096833257,-2.797138122632694,23.113944395331107,-1.5614577237593537,11.087081376709403,-1.7451394512696639,-1.4183591100577093,-10.546145408597932,-1.5903923137299139,4.0
6.0,0.45536585924545164,3.0757959428189983,23.745187427189432,-4.162782539633218,-13.186640367927126,-3.786807339302693,-5.509467921250767,-6.849707271823531,21.479550353215856,6.176904206404163,68.50725403239962,12.490722370259519,-21.891085542533403,15.99178741921358,-40.49510378607486,-21.07559808763208,22.591553336888854,-9.650368004308861,10.183494262659313,-3.4902525560753683,-5.178611857809064,2.495079752402194,-3.171094533799765,-9.936507265150162,9.957173851872074,-33.583385664668796,-44.94109914473876,-13.90402148934698,-16.32646291495216,-8.862743373377118,1.6479641358928618,47.191851644707384,-24.38295180082857,-9.805579747210809,-3.411597134184633,-32.53704690457646,-12.948183556301021,-28.78415530509099,-35.17039855504721,-27.284690185474673,3.818107958552774,-19.43060307476428,-11.59078505216287,7.833871352287773,13.853443392776375,26.207452088695092,2.7789320311446533,32.98663004172817,-25.7393871361739,-28.681921317097,-20.66818798126112,11.897961398344322,2.8567538124136242,18.80198482671267,-0.5454893503966771,10.091846801835374,-3.0841386012191143,0.14383315801792015,-9.975501701628398,-0.7402682599957072,4.0
7.0,0.4740879134649753,3.507318154702862,29.39972390329206,-16.728945639640383,-20.558353880432797,-14.35730882361506,33.141376964720756,-4.327458353704822,27.58659350959168,8.252767783626279,55.47575548355724,-39.38136530170197,5.906833264293736,1.5977969476806253,-29.359046267001055,-8.845379474849954,43.21799099206687,-26.182263665386355,5.61510336574,-2.5594224937187127,5.7812289824509255,7.4634269813043606,-4.352034797692344,-13.599869621331212,13.03416333106924,-36.4802650465937,-44.01675786707986,-5.933078500506785,-17.842124459950902,-4.742628036044008,-6.738548488296079,44.20979068364164,-15.123309741048708,-12.156805888146824,5.362472817637577,-32.33265141535432,-9.828967943422887,-31.631844077563628,-29.155856525044303,-12.398351153676511,0.7154861538544175,-11.022379419487368,-6.830676895357488,10.131427880049422,17.93279033997471,13.552886748538148,20.11143096940325,26.296768075374068,-24.34220566812415,-24.589410448876535,-17.4144018874552,16.710971614692305,3.9846504576084403,19.664495956119655,14.504012848783086,0.8339216578830632,-0.23924068198288825,-0.8477446411440123,-5.3129907050687795,-17.055199255156335,4.0
8.0,0.5637560029103721,3.5717574422309415,26.09722892752374,-7.215954567970295,-20.844470102141173,-12.439491672748934,10.67210125869387,1.466119542225078,32.6377690554297,7.012445495803926,61.30692758993856,-14.507003219717577,-2.9919580892781794,8.85777351354018,-29.448616338451654,-9.039582957737041,28.1387535535015,-24.99648794326568,3.4526654763756595,-1.1879304883187223,6.1888909561417815,11.655672554986323,-3.976367719244468,-12.522232243670604,10.09394542400557,-38.59221393100193,-46.216828821181885,-6.015784834991668,-23.04854091945097,-11.367573764399454,0.9880157647907006,40.12250401149891,-13.464069431436915,-6.666443746833607,-6.598999231198279,-27.933152844663958,-14.747127727302496,-31.21788121738591,-27.86507644598229,-14.490693070737542,-3.054189420983268,-12.370182828630593,-17.244569223305994,12.58931353704887,17.131088120062294,11.348831043812506,18.018867727389758,24.166427148702837,-20.40988687268719,-26.596110591365594,-20.623538838436854,17.759947187044414,3.5909640365996998,21.405675811412063,6.527076275494226,2.5518686043530043,0.20240363607700712,-1.7130751860842797,-3.7317397688870697,-11.380592933303284,4.0
1.0,-0.31555528897465607,-2.1072708912059492,-3.638626775408539,-2.054672400427335,-15.980239450794171,24.78828839414307,4.740443590652401,-27.139800330906052,57.76696006106322,-10.005473150291483,33.94091373755257,-30.88685758924253,-30.41304593038595,29.767810023131002,5.163803172307811,-21.038054418781563,-14.943072180269322,5.81773802691237,1.4345578658773337,-1.0397241549286653,-2.4202691878172127,-0.7024483545764854,7.1093085348098,23.009713217700995,-9.903085047877584,-31.75683206685876,19.51720600387171,4.884714879686061,23.60153654754695,6.160280812948476,-1.9453323960451048,-14.183958476386612,13.162912315716204,8.712568802163407,9.59240697448191,-19.341935475932353,43.84639270515544,26.970195700005114,-4.371357503089886,5.322496568491736,30.44190143140056,46.048697566637145,-30.232375258465716,12.028880234360209,-11.57124458608748,4.996341602720336,-18.47933014021302,7.720989316758101,19.92548446214623,-0.34918506684208694,-3.3458863406092143,-13.204025620052194,2.922039281607486,-5.26312002598047,8.603737953520202,1.4615846219971866,-3.106529777291229,3.4807364691533706,-5.495072363185272,-5.213659797892339,4.0
2.0,-0.3836304486648929,-2.3846281379403127,-3.9638350609593593,-7.061977949368525,-7.155474721796952,18.605545107198637,12.321404559669729,-28.583290448428635,59.046752827579816,-3.832646281406979,31.326833083533113,-36.606767712457874,-27.080452425196867,24.150553046383635,1.8765847659373958,-13.220882803453943,-24.200080526940198,9.376451021966652,-0.2237898159943105,-0.4942635295603926,-1.9053629905911376,-1.774410364408961,7.753036336040708,25.13198819357378,-9.637868644999672,-31.02910823150774,20.370112302129574,0.9198592811048305,20.629923273392443,7.076971268851264,0.2024023814751638,-12.90261168199734,5.548738552913121,5.674259487251304,10.829684251423263,-18.450411254476233,46.319949506458926,23.96218406154301,-2.3447829385112695,0.42057353495490446,21.43879527356807,38.14527040333317,-36.25905401255347,15.388734465321038,-18.012945643487367,6.961302568358744,-13.369138664901984,13.650393052319686,22.424706285328256,-2.4258974352951443,-2.1108513755738234,-9.52189437608009,7.186681420093042,-10.02762968537095,7.3149217944876455,5.3542095930600455,-4.344701160111699,3.9785942363719826,-9.13186406992245,-1.5416258813520787,4.0
